idAudioContenido,idAudio,TiOriginal
1,1,The Ghost of Harrenhal
2,3,Save Me
3,2,Occam's Razor
4,2,The One with the Boobies
5,3,The One Where Underdog Gets Away
6,1,The One with the Fake Monica
7,3,Shrek
8,1,Green Light
9,2,Woe What a Night
10,1,Harry Potter
11,3,Three Stories
12,2,Mob Rules
13,1,The One with All the Poker
14,2,My Fair Lady
15,3,Cursed
16,2,Jamie and Jessie Are Not Together
17,3,Scream 2
18,1,Pilot
19,2,Look for the Light
20,3,Maternity
21,1,John Adams
22,2,The One with the Evil Orthodontist
23,3,"Red Light, Green Light"
24,1,"Winning a Battle, Losing the War"
25,2,Together Again
26,1,Over
27,3,Destination Unknown
28,1,Please Hold to My Hand
29,3,The Trap
30,2,"Long, Long Time"
31,2,Caballo sin Nombre
32,3,Kin
33,1,The Self-Destruct Button
34,2,Breakage
35,3,The Squaw Man
36,1,Scary Movie
37,3,You Win or You Die
38,2,Occam's Razor
39,1,"Winning a Battle, Losing the War"
40,3,The One Where the Monkey Gets Away
41,1,Love Hurts
42,2,Look for the Light
43,2,Cousin cousine
44,1,Outsourced
45,3,Destination Unknown
46,1,Who's Zoomin' Who?
47,3,Valar Morghulis
48,2,Beyond Justice
49,2,Shrek 2
50,1,4 Days Out
51,3,The One with the Butt
52,2,The Nun
53,1,Geronimo: An American Legend
54,3,Tinkerbell
55,3,Gganbu
56,1,The Prince of Winterfell
57,2,Caballo sin Nombre
58,1,Quid Pro Woe
59,2,DNR
60,3,Babies & Bathwater
61,3,Chicken Little
62,1,Garden of Bones
63,2,The One Where the Monkey Gets Away
64,1,Harry Potter
65,3,The One Where Nana Dies Twice
66,2,Shrek 2
67,1,The One with the Stoned Guy
68,3,Babies & Bathwater
69,2,The One Where Underdog Gets Away
70,2,A Fair World
71,3,The Great Gabbo
72,1,When You're Lost in the Darkness
73,3,Graveyard Spiral
74,1,Gganbu
75,2,The Karate Kid Part II
76,2,Peekaboo
77,3,Jamie and Jessie Are Not Together
78,1,Bit by a Dead Bee
79,1,Scary Movie
80,2,Daybreak
81,3,Left Behind
82,1,The One with the Candy Hearts
83,3,DNR
84,2,Tinkerbell
85,3,Green Light
86,1,Baelor
87,2,"Long, Long Time"
88,2,Les Misérables
89,1,Kids
90,3,Histories
91,1,Quid Pro Woe
92,2,The One with the Candy Hearts
93,3,The Squaw Man
94,1,Tailspin
95,3,The Pointy End
96,2,Shrek
97,2,Pandemia
98,3,A Golden Crown
99,1,Fidelity
100,3,Woe Is the Loneliest Number
101,1,The Swan Princess
102,2,Jamie and Jessie Are Not Together
103,3,Valar Morghulis
104,1,Scary Movie
105,2,Shrek 2
106,1,Kafkaesque
107,2,Cronos
108,3,Everybody Lies
109,1,Inquire Within
110,2,The One with the Thumb
111,3,John Adams
112,3,Scream 3
113,2,Save Me
114,1,Como Entrenar a Mi Dragon
115,2,My Fair Lady
116,1,Blue
117,3,Más
118,1,Mob Rules
119,3,The Socratic Method
120,2,No Más
121,3,Cousin cousine
122,2,Cronos
123,1,A Murder of Woes
124,1,ABQ
125,3,Chicken Little
126,2,The North Remembers
127,1,Homemade
128,2,Shrek
129,3,4 Days Out
130,2,Wednesday's Child Is Full of Woe
131,1,Who's Zoomin' Who?
132,3,Fly
133,1,The Old Gods and the New
134,2,Water Landing
135,3,Auschwitz: The Nazis and the 'Final Solution'
136,2,Green Light
137,1,Jamie and Jessie Are Not Together
138,3,Abiquiu
139,1,The Self-Destruct Button
140,2,A Golden Crown
141,3,Damned If You Do
142,2,Three Stories
143,3,One Minute
144,1,Deadhead
145,3,The Ghost of Harrenhal
146,1,Smokey and the Bandit III
147,2,The One with the Ick Factor
148,3,School of Rock
149,1,"Cripples, Bastards, and Broken Things"
150,2,The Karate Kid
151,1,Phoenix
152,2,Endless Love
153,3,The Hart of London
154,1,Scream 2
155,3,Exposed
156,2,Inquire Within
157,3,Over
158,2,Control
159,1,Fire and Blood
160,3,The One with the Sonogram at the End
161,1,ABQ
162,2,Saw V
163,1,Cursed
164,3,"Long, Long Time"
165,2,The One with Mrs. Bing
166,3,The One Where the Monkey Gets Away
167,2,A Hard Day's Night
168,1,Full Measure
169,1,The First Cut Is the Deepest
170,3,The One with The Dozen Lasagnas
171,2,Cronos
172,1,If Tomorrow Never Comes
173,3,Down
174,2,Green Light
175,2,When We Are in Need
176,3,Exposed
177,1,The Wolf and the Lion
178,2,Infected
179,1,Breakage
180,3,Rio
181,3,You Win or You Die
182,1,Seven Thirty-Seven
183,2,Bit by a Dead Bee
184,1,Stick to the Team
185,3,The Pointy End
186,2,Human Nature
187,2,Rio
188,3,Black Panther
189,1,Blue
190,3,Fire and Blood
191,1,Sports Medicine
192,2,Sherlock Holmes
193,2,The Wolf and the Lion
194,1,The Pilot
195,3,A Murder of Woes
196,1,A Man Without Honor
197,2,If You Don't Woe Me by Now
198,3,The One with the Candy Hearts
199,2,The Fighter
200,3,Saw V
201,1,Valar Morghulis
202,3,Blue
203,1,Negro y Azul
204,2,Tailspin
205,1,Human Nature
206,3,The Pointy End
207,2,Infected
208,3,Exposed
209,1,A Murder of Woes
210,2,"Winning a Battle, Losing the War"
211,2,Everybody Lies
212,1,The One with Two Parts
213,3,Detox
214,3,Most Likely to Succeed
215,1,Shake Your Groove Thing
216,2,The One with the Ick Factor
217,1,Tootsie
218,2,Histories
219,3,Coronavirus en pocas palabras
220,2,Mandala
221,1,Bit by a Dead Bee
222,3,Occam's Razor
223,2,A Fair World
224,1,The One with the Monkey
225,3,Love Hurts
226,2,Black Panther
227,1,Kafkaesque
228,3,The Karate Kid Part II
229,2,Occam's Razor
230,3,Stick to the Team
231,1,No Man's Land
232,3,Control
233,2,The One with the Fake Monica
234,1,Half Measures
235,3,Cursed
236,2,The Karate Kid Part III
237,1,Abiquiu
238,1,Caballo sin Nombre
239,2,The Manitou
240,3,Lord Snow
241,3,Babies & Bathwater
242,2,The Kingsroad
243,1,Lord Snow
244,3,Fidelity
245,1,Most Likely to Succeed
246,2,The Karate Kid Part III
247,3,Shrek
248,2,Seven Thirty-Seven
249,1,One Lucky Day
250,3,Jamie and Jessie Are Not Together
251,1,The Pilot
252,2,Más
253,2,Exposed
254,3,What Is Dead May Never Die
255,1,Sunset
256,2,The One with the Monkey
257,3,Phoenix
258,1,Stick to the Team
259,1,Caballo sin Nombre
260,2,Everybody Lies
261,3,"Winning a Battle, Losing the War"
262,3,Scream 2
263,1,Daybreak
