idSubtituloContenido,idSubtitutlo,TiOriginal
1,5,Como Entrenar a Mi Dragon
2,1,Crime of Passion
3,2,Lord Snow
4,3,Save Me
5,4,Picture a Scientist
6,3,Phoenix
7,5,Water Landing
8,1,The One with the Boobies
9,4,Front Man
10,2,A Good Man
11,3,The Karate Kid Part III
12,4,Cronos
13,2,A Good Man
14,5,Chicken Little
15,1,Picture a Scientist
16,5,The Great Gabbo
17,2,Cursed
18,3,Stick to the Team
19,1,The Hart of London
20,4,Full Measure
21,2,The Night Lands
22,4,Tailspin
23,5,The Parent Trap
24,1,Lord Snow
25,3,Scary Movie 5
26,1,Stick to the Team
27,2,The Parent Trap
28,3,Human Nature
29,4,Three Stories
30,5,DNR
31,3,A Man Without Honor
32,4,If You Don't Woe Me by Now
33,2,Everybody Lies
34,1,Please Hold to My Hand
35,5,Detox
36,4,The One Where Underdog Gets Away
37,1,"Red Light, Green Light"
38,3,The Karate Kid
39,2,The Karate Kid Part II
40,5,The Man with the Umbrella
41,3,Fire and Blood
42,5,Fidelity
43,2,Damned If You Do
44,4,Harry Potter
45,1,Wednesday's Child Is Full of Woe
46,4,Kids
47,1,Seven Thirty-Seven
48,5,The Hart of London
49,2,A Blank on the Map
50,3,Woe What a Night
51,2,A Good Man
52,1,Scary Movie 5
53,3,Love Hurts
54,5,Left Behind
55,4,Control
56,5,Damned If You Do
57,1,Cronos
58,3,The Pilot
59,4,The Ghost of Harrenhal
60,2,Negro y Azul
61,2,The Karate Kid Part III
62,3,The Parent Trap
63,5,Kin
64,4,Sunset
65,1,The One Where Underdog Gets Away
66,4,Breakage
67,3,Geronimo: An American Legend
68,2,Tinkerbell
69,5,"Red Light, Green Light"
70,1,Over
71,2,The Pilot
72,4,Tailfin
73,3,When You're Lost in the Darkness
74,5,A Fair World
75,1,The Karate Kid
76,3,Heavy
77,1,The Night Lands
78,5,Wingman
79,4,Les Misérables
80,2,Grilled
81,5,Down
82,4,A Fair World
83,3,Over
84,1,School of Rock
85,2,Exposed
86,3,Outsourced
87,4,Graveyard Spiral
88,1,Who's Zoomin' Who?
89,5,The One with George Stephanopoulos
90,2,Blue
91,4,One Minute
92,1,A Good Man
93,2,Destination Unknown
94,5,The One Where Rachel Finds Out
95,3,Les Enfants Terribles
96,3,A Man Without Honor
97,5,The One with the Evil Orthodontist
98,4,The Karate Kid
99,1,Mob Rules
100,2,Picture a Scientist
