idHistorial,TiOriginal,Username,FechaVisto,IdiomaAudio,IdiomaSubtitulo
1,A Cinderella Story,Manu,2023-04-10,castellano,null
2,School of Rock,Isa,2023-03-10,ingles,null
3,Twilight,Manu,2023-03-10,ingles,null
4,Stuart Little,Isa,2023-02-10,ingles,null
5,The Karate Kid,Vicky,2023-04-10,ingles,null
6,A Cinderella Story,Vicky,2023-04-11,castellano,null
7,School of Rock,Manu,2023-03-09,ingles,null
8,School of Rock,Vicky,2023-01-10,ingles,null
9,Winter Is Coming,Manu,2023-01-11,ingles,null
10,The Kingsroad,Manu,2023-01-12,ingles,null
11,Lord Snow,Manu,2023-01-13,ingles,null
12,"Cripples, Bastards, and Broken Things",Manu,2023-01-14,ingles,null
13,The Wolf and the Lion,Manu,2023-01-15,ingles,null
14,A Golden Crown,Manu,2023-01-16,ingles,null
15,"Red Light, Green Light",Isa,2023-01-17,ingles,null
16,Hell,Isa,2023-01-18,ingles,null
17,"Cripples, Bastards, and Broken Things",Vicky,2023-01-19,castellano,null
18,The Wolf and the Lion,Vicky,2023-01-20,castellano,null
19,A Golden Crown,Vicky,2023-01-21,castellano,null
20,You Win or You Die,Vicky,2023-01-22,castellano,null
